0, 0, 0, 0, 0, 0, 0, 0, 
0.001, 0, 0, 0, 0, 0, 0, 0, 
0.001, 0, 0, 0, 0, 1.8096, 1.8096, 1.8096, 
0.001, 0, 0, 0, 0, 4.73046, 4.73046, 4.73046, 
0.001, 0, 0, 0, 0, 6.52398, 6.52398, 6.52398, 
0.001, 0, 0, 0, 0, 7.62501, 7.62501, 7.62501, 
0.001, 0, 0, 0, 0, 8.30058, 8.30058, 8.30058, 
0.001, 0, 0, 0, 0, 8.71469, 8.71469, 8.71469, 
0.001, 0, 0, 0, 0, 8.96805, 8.96805, 8.96805, 
0.001, 0, 0, 0, 0, 9.12253, 9.12253, 9.12253, 
0.001, 0, 0, 0, 0, 9.2161, 9.2161, 9.2161, 
0.001, 0, 0, 0, 0, 9.2721, 9.2721, 9.2721, 
0.001, 0, 0, 0, 0, 9.30485, 9.30485, 9.30485, 
0.001, 0, 0, 0, 0, 9.32315, 9.32315, 9.32315, 
0.001, 0, 0, 0, 0, 9.3324, 9.3324, 9.3324, 
0.001, 0, 0, 0, 0, 9.33592, 9.33592, 9.33592, 
0.001, 0, 0, 0, 0, 9.33575, 9.33575, 9.33575, 
0.001, 0, 0, 0, 0, 9.33315, 9.33315, 9.33315, 
0.001, 0, 0, 0, 0, 9.32887, 9.32887, 9.32887, 
0.001, 0, 0, 0, 0, 9.3234, 9.3234, 9.3234, 
0.001, 0, 0, 0, 0, 9.31702, 9.31702, 9.31702, 
0.001, 0, 0, 0, 0, 9.30992, 9.30992, 9.30992, 
0.001, 0, 0, 0, 0, 9.30219, 9.30219, 9.30219, 
0.001, 0, 0, 0, 0, 9.29391, 9.29391, 9.29391, 
0.001, 0, 0, 0, 0, 9.28513, 9.28513, 9.28513, 
0.001, 0, 0, 0, 0, 9.27586, 9.27586, 9.27586, 
0.001, 0, 0, 0, 0, 9.26612, 9.26612, 9.26612, 
0.001, 0, 0, 0, 0, 9.25592, 9.25592, 9.25592, 
0.001, 0, 0, 0, 0, 9.24528, 9.24528, 9.24528, 
0.001, 0, 0, 0, 0, 9.23418, 9.23418, 9.23418, 
0.001, 0, 0, 0, 0, 9.22264, 9.22264, 9.22264, 
0.001, 0, 0, 0, 0, 9.21066, 9.21066, 9.21066, 
0.001, 0, 0, 0, 0, 9.19824, 9.19824, 9.19824, 
0.001, 0, 0, 0, 0, 9.18537, 9.18537, 9.18537, 
0.001, 0, 0, 0, 0, 9.17207, 9.17207, 9.17207, 
0.001, 0, 0, 0, 0, 9.15833, 9.15833, 9.15833, 
0.001, 0, 0, 0, 0, 9.14415, 9.14415, 9.14415, 
0.001, 0, 0, 0, 0, 9.12953, 9.12953, 9.12953, 
0.001, 0, 0, 0, 0, 9.11448, 9.11448, 9.11448, 
0.001, 0, 0, 0, 0, 9.09899, 9.09899, 9.09899, 
0.001, 0, 0, 0, 0, 9.08307, 9.08307, 9.08307, 
0.001, 0, 0, 0, 0, 9.06672, 9.06672, 9.06672, 
0.001, 0, 0, 0, 0, 9.04993, 9.04993, 9.04993, 
